f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Filename
0.1023,0.0665,0.1484,0.1189,0.1463,0.0872,0.1068,0.2891,0.0463,0,0,0.1023,0.1122,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-212_43657.pcap
0.0352,0.0262,0.0469,0.0593,0.0869,0.0346,0.0648,0.1953,0.0228,0,0,0.0352,0.0361,0,processed.pcap.TCP_111-93-5-203_22_222-186-31-223_3669.pcap
0.0284,0.0242,0.0339,0.0326,0.0318,0.0292,0.0241,0.0348,0.0185,0,0,0.0284,0.024,0,processed.pcap.TCP_88-103-247-60_45895_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_202-85-222-100_51765.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_221-3-83-27_9131.pcap
0.0227,0.0181,0.0286,0.028,0.025,0.0265,0.0222,0.0292,0.0179,0,0,0.0216,0.02,0.0714,processed.pcap.TCP_1-93-33-2_37711_111-93-5-203_22.pcap
0.1125,0.0665,0.1719,0.132,0.153,0.1028,0.119,0.3077,0.0555,0,0,0.1125,0.1303,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-190_48188.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_3997_111-93-5-203_22.pcap
0.0943,0.0605,0.138,0.1111,0.1367,0.0815,0.1011,0.2732,0.0439,0,0,0.0943,0.1042,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-210_6640.pcap
0.0386,0.0302,0.0495,0.0538,0.073,0.0351,0.054,0.1493,0.0226,0,0,0.0386,0.0421,0,processed.pcap.TCP_61-174-51-214_46820_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_95-0-212-205_42403_111-93-5-203_22.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_61-182-202-57_38850_111-93-5-203_22.pcap
0.025,0.0202,0.0313,0.0402,0.0553,0.0258,0.0433,0.118,0.0185,0,0,0.025,0.022,0,processed.pcap.TCP_60-173-10-142_2867_111-93-5-203_22.pcap
0.0239,0.0202,0.0286,0.0345,0.0393,0.0272,0.0309,0.0647,0.0185,0,0,0.0239,0.02,0,processed.pcap.TCP_109-168-106-32_51347_111-93-5-203_22.pcap
0.1045,0.0645,0.1563,0.122,0.1449,0.0928,0.1099,0.2887,0.05,0,0,0.1045,0.1182,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-186_44410.pcap
0.0239,0.0202,0.0286,0.0345,0.0393,0.0272,0.0309,0.0647,0.0185,0,0,0.0239,0.02,0,processed.pcap.TCP_111-93-5-203_22_185-53-168-9_53450.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_61-182-202-57_33887_111-93-5-203_22.pcap
0.0989,0.0625,0.1458,0.1161,0.1412,0.0862,0.1052,0.282,0.0463,0,0,0.0989,0.1102,0,processed.pcap.TCP_111-93-5-203_22_116-10-191-176_32191.pcap
0.0205,0.0181,0.0234,0.0259,0.023,0.0246,0.0213,0.0251,0.0179,0,0,0.0182,0.018,0.0714,processed.pcap.TCP_111-93-5-203_22_221-208-245-226_52910.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_219-92-5-182_47480.pcap
0.0273,0.0222,0.0339,0.0319,0.0302,0.0292,0.0241,0.0348,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_122-70-133-245_56778.pcap
0.0523,0.0423,0.0651,0.0817,0.112,0.0526,0.0865,0.2361,0.037,0,0,0.0511,0.0441,0,processed.pcap.TCP_60-173-10-142_4602_111-93-5-203_22.pcap
0.0261,0.0222,0.0313,0.0347,0.0285,0.0346,0.0294,0.0292,0.0261,0,0,0.025,0.022,0.0714,processed.pcap.TCP_1-93-33-2_33170_111-93-5-203_22.pcap
0.0273,0.0262,0.0286,0.0337,0.0387,0.0264,0.0314,0.0606,0.0201,0,0,0.0273,0.0281,0,processed.pcap.TCP_62-210-131-208_57564_111-93-5-203_22.pcap
0.0318,0.0222,0.0443,0.0367,0.0302,0.0364,0.0272,0.0348,0.0221,0,0,0.0318,0.0301,0,processed.pcap.TCP_111-93-5-203_22_211-140-18-58_36248.pcap
0.0341,0.0302,0.0391,0.0428,0.0498,0.0331,0.0403,0.0844,0.0241,0,0,0.0341,0.0421,0,processed.pcap.TCP_111-93-5-203_22_212-83-129-173_61367.pcap
0.0364,0.0262,0.0495,0.0427,0.0397,0.0394,0.0325,0.0532,0.0234,0,0,0.0352,0.0381,0.0357,processed.pcap.TCP_111-93-5-203_22_144-0-0-28_51634.pcap
0.0273,0.0222,0.0339,0.0321,0.0306,0.0292,0.0243,0.0358,0.0185,0,0,0.0273,0.024,0,processed.pcap.TCP_111-93-5-203_22_221-208-245-226_49129.pcap
